How long is the imaging session (answer in seconds; time from TTL HIGH to end of the aqusition)?0.00307416915894 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.92405605316 , array('B', [0, 0, 0, 0, 254, 255, 0, 0])
3.94005799294 , array('B', [0, 0, 0, 0, 254, 255, 0, 0])
3.95605802536 , array('B', [0, 0, 255, 255, 254, 255, 0, 0])
3.97206115723 , array('B', [0, 0, 255, 255, 254, 255, 0, 0])
3.98806405067 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.00406503677 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.02006602287 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
4.03607010841 , array('B', [0, 0, 1, 0, 255, 255, 0, 0])
4.05207014084 , array('B', [0, 0, 1, 0, 255, 255, 0, 0])
4.08407616615 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.10007715225 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.11607909203 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
4.13208699226 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.14809608459 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.16408705711 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.18009305 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.21209406853 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.2280960083 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.24409604073 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.26009917259 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.29210805893 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.3081099987 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.32410812378 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
4.34011697769 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.35611605644 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.37211418152 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.38811612129 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.40411996841 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.42013001442 , array('B', [0, 0, 255, 255, 1, 0, 0, 0])
4.43612313271 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.45212006569 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.46812915802 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.48412799835 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.50013208389 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.51613497734 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.53213119507 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.54814314842 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
4.56414103508 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
4.5801410675 , array('B', [0, 0, 1, 0, 1, 0, 0, 0])
4.64415502548 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.67615914345 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.69215917587 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.70816707611 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.72416114807 , array('B', [0, 0, 255, 255, 255, 255, 0, 0])
4.74016618729 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.75616812706 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.82018208504 , array('B', [0, 0, 1, 0, 255, 255, 0, 0])
4.83617806435 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
4.85218000412 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
4.86818099022 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.90018320084 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
